UTF-8, TVPaint, "CSV 1.0"
Project Name, Width, Height, Frame Count, Layer Count, Frame Rate, Pixel Aspect Ratio, Field Mode
#00072, " ", " ", "003_D_00003.png", "004_C_00000.png", "005_B_00072.png", " ", " "
#00073, " ", " ", " ", " ", " ", " ", " "
#00074, " ", " ", " ", " ", " ", " ", " "
#00075, " ", " ", " ", " ", " ", " ", " "
#00076, " ", " ", " ", " ", " ", " ", " "
#00077, " ", " ", " ", " ", " ", " ", " "
#00078, " ", " ", " ", "004_C_00006.png", " ", " ", " "
#00079, " ", " ", " ", " ", " ", " ", " "
#00080, " ", " ", " ", " ", " ", " ", " "
#00081, " ", " ", " ", "004_C_00009.png", " ", " ", " "
#00082, " ", " ", " ", " ", " ", " ", " "
#00083, " ", " ", " ", " ", " ", " ", " "
#00084, " ", " ", " ", "004_C_00012.png", " ", " ", " "
#00085, " ", " ", " ", " ", " ", " ", " "
#00086, " ", " ", " ", " ", " ", " ", " "
#00087, " ", " ", "003_D_00018.png", " ", " ", " ", " "
#00088, " ", " ", " ", " ", " ", " ", " "
#00089, " ", " ", " ", " ", " ", " ", " "
#00090, " ", " ", " ", "004_C_00018.png", " ", " ", " "
#00091, " ", " ", " ", " ", " ", " ", " "
#00092, " ", " ", "003_D_00000.png", " ", " ", " ", " "
#00093, " ", " ", " ", "004_C_00021.png", " ", " ", " "
#00094, " ", " ", " ", " ", " ", " ", " "
#00095, " ", " ", "003_D_00003.png", " ", " ", " ", " "
